Name;Ticker;Id;ISIN
2020 Bulkers;2020;12720;BMG9156K1018
24Seven Technology Group;TFSO;8380;NO0010279474
5th Planet Games;FIVEPG;12440;DK0060945467
ABG Sundal Collier Holding;ASC;2017;NO0003021909
ABG Sundal Collier Oil Derivative Long;OILEADLONG;8548;NO0010489511
ABG Sundal Collier Oil Derivative Short;OILEADSHORT;8548;NO0010489529
Ability Drilling;ADRL;8408;NO0010333024
Actinor Shipping;ACS;2407;NO0003028607
Active 24;ACTIVE;7811;NO0010033590
Adelsten Holding A;ADE;2202;NO0003031809
Adelsten Holding B;ADEB;2202;NO0003031817
Adevinta;ADE;12701;NO0010844038
Adevinta ser. A;ADEA;12701;NO0010843998
Adresseavisen;AAV;2203;NO0003502809
Aega;AEGA;11273;NO0010626559
AF Gruppen;AFG;6051;NO0003078107
AF Gruppen B;AFGB;6051;NO0003078115
African Petroleum Corporation;APCL;12300;AU000000AOQ0
Agasti Holding;AGA;6806;NO0003108102
AGR Group;AGR;8128;NO0010277171
Agresso Group;AGR;5025;NO0003052508
Akastor;AKA;7765;NO0010215684
Aker;AKER;6047;NO0010234552
Aker BioMarine;AKBM;6101;NO0003084006
Aker BP;AKERBP;8376;NO0010345853
Aker Drilling;AKD;8006;NO0010287006
Aker F;AKEF;1939;NO0003514036
Aker Floating Production;AKFP;8130;NO0010308836
Aker Maritime;AMA;5192;NO0003062507
Aker NB;AKEN;1939;NO0003514093
Aker Philadelphia Shipyard;AKPS;8462;NO0010395577
Aker RGI A;AKE;1939;NO0003514002
Aker RGI B;AKEB;1939;NO0003514010
Aker Solutions;AKSO;12353;NO0010716582
Aktiv Kapital;AIK;6083;NO0003075004
AKVA Group;AKVA;8194;NO0003097503
Alcatel STK;STK;1166;NO0005487207
Algeta;ALGETA;8252;NO0010239437
Allianse;ALL;7929;NO0005292805
Altinex;ALX;5116;NO0003056806
Alvern;ALV;5055;NO0003050304
Ambra;AMB;1752;NO0003322901
American Shipping Company;AMSC;7954;NO0010272065
Amersham;AHM;6068;GB0002747532
Andvord Tybring-Gjedde;ATG;2237;NO0005724401
APL;APL;7916;NO0010255862
APL;APLC;8249;CY0100170915
Apptix;APP;7072;NO0010123060
A-pressen;APR;2514;NO0005014001
Aqua Bio Technology;ABT;8465;NO0010307135
Aqualis;AQUA;12348;NO0010715394
Arcade Drilling;ARD;2410;NO0003015109
Arcade Shipping;ARC;2409;NO0003068801
Archer;ARCHER;11216;BMG0451H1097
Archer;ARCHER;11216;BMG0451H1170
Arcus;ARCUS;12523;NO0010776875
Arendals Fossekompani;AFK;1007;NO0003572802
ARK;ARK;2371;NO0003044505
Arrow Seismic;ARROW;8342;NO0010301161
Asetek;ASETEK;11324;DK0060477263
Asia Offshore Drilling;AOD;11249;BMG0539N1020
Atea;ATEA;2305;NO0004822503
Atlantic Container Line;ACL;2211;SE0000245409
Atlantic Petroleum;ATLA NOK;11657;FO000A0DN9X4
Atlantic Sapphire;ASA;12625;NO0010768500
Atlantica;ATL;2215;NO0003079808
Aurora LPG Holding;AURLPG;12350;NO0010701279
Aurskog Sparebank;AURG;6131;NO0006001601
Austevoll Seafood;AUSS;8163;NO0010073489
Autronica;AUA;2217;NO0003602203
Avance Gas Holding;AVANCE;12290;BMG067231032
Avantor;AVA;2497;NO0003049702
Avantor;AVT;1970;NO0005670505
Avenir;AVE;2385;NO0005598706
Avocet Mining;AVM;11178;GB0000663038
Avocet Mining;AVM;11178;GB00BZBVR613
Awilco Drilling;AWDR;11244;GB00B5LJSC86
Awilco LNG;ALNG;11268;NO0010607971
Awilco ser. A;AWS;2218;NO0003083107
Awilco ser. B;AWSB;2218;NO0003083115
Axactor;AXA;6084;NO0010840515
Axactor;AXA;6084;SE0011309319
Axactor;AXA;6084;SE0005569100
Axis Biochemicals;AXI;2219;NO0003045403
Axis-Shield;ASD;6164;GB0008039975
Axis-Shield t.rettsaksjer;ASDL;6164;NO0010015191
Axxessit;AXX;7777;NO0010040355
Axxis Geo Solutions;AGS;12534;NO0010778095
B+H Ocean Carriers;BHOC;7983;LR000A0D81P7
B2Holding;B2H;12485;NO0010633951
Bachke & Co;BAC;2220;NO0003023707
Badger Explorer;BXPL;8360;NO0010283211
Bakkafrost;BAKKA;8620;FO0000000179
Belships;BEL;2221;NO0003094104
Benor Tankers;BET;2222;BMG0992J1018
Bergehus;BERGEH;2223;NO0003096307
Bergen Group;BERGEN;8495;NO0010379779
Bergen Nordh. Rutel.;BNRN;2224;NO0003099699
Bergen Nordhordland Rutelag;BNR;2224;NO0003099608
BerGenBio;BGBIO;12550;NO0010650013
Bergensbanken;BBA;1848;NO0003002503
Bergesen d.y ser. A;BEA;2225;NO0003102105
Bergesen d.y ser. B;BEB;2225;NO0003102113
Bilsped. Transp. & Logistics;BIL;2228;NO0003659914
Bionor Pharma;BIONOR;6339;NO0003106700
Biotec Pharmacon;BIOTEC;7963;NO0010014632
Birdstep Technology;BIRD;7150;NO0003095309
Bjølvefossen;BJF;2205;NO0003666604
Bjørge;BJORGE;7824;NO0003101404
Blom;BLO;2230;NO0003679102
BNR Fjord Line;BNRFJORD;2224;NO0010176274
Bolig- og Næringsbanken;BNB;1946;NO0005139402
Bona Shipholding;BSH;2231;BMG1224A1080
Bonheur;BON;2208;NO0003110603
Borgestad;BOR;2209;NO0003111700
Borgestad Industries;BIND;8524;NO0010439813
Borgestad ser. B;BORB;2209;NO0003111718
Borr Drilling;BDRILL;12565;BMG1466R1088
Borr Drilling;BDRILL;12565;BMG1466R2078
Borregaard;BRG;11306;NO0010657505
Bouvet;BOUVET;8307;NO0010360266
Bridge Energy;BRIDGE;8631;NO0010566235
Brøvig Supply;BSS;6056;NO0003090300
Braathens;BRA;2233;NO0003044703
Burmeister & Wain Holding B;BWHB;None;NO0003772105
BW Energy Limited;BWE;12748;BMG0702P1086
BW Gas;GAS;2225;NO0003102105
BW Gas Limited;BWGAS;8506;BMG174301025
BW LPG;BWLPG;12241;BMG173841013
BW Offshore Limited;BWO;8108;BMG1190N1002
BW Offshore Limited;BWO;8108;BMG1738J1247
BWG Homes;BWG;8045;NO0010298300
Byggma;BMA;6049;NO0003087603
Bøhler-Gruppen;BOH;2488;NO0003044901
Bøndernes Bank;BBK;2411;NO0003003006
C. Tybring-Gjedde;CTGN;2237;NO0005724492
Camposol Holding;CSOL;8496;CY0110601115
CanArgo Energy Co.;CNR;2527;US35075K1016
CanArgo Energy Corporation;CNR;2527;US1372251082
Captura;CAPTU;8064;NO0010305089
Catch Communications;CATCH;7764;NO0010093933
Cecon;CECON;8316;NO0010355910
Cellcura;CELL;11205;NO0010386253
Cermaq;CEQ;7960;NO0010003882
Choice Hotels Scandinavia;CHS;6017;NO0003072506
Chr. Bank og Kreditkasse;CBA;1103;NO0003025504
Chr. Bank og Kreditkasse;CKR;1103;NO0003025538
Chr. Bank og Kreditkasse;CBK;1103;NO0003003501
Chr. Bank og Kreditkasse F;CBKF;1103;NO0003003535
Chr. Bjelland & Co;CBJ;5017;NO0003053209
Codfarmers;COD;8165;NO0010160484
Color Group;COL;1949;NO0003014706
Component Software Group;CSG;6482;NO0010068513
Computer Advances;CAG;5098;NO0005015602
Comrod Communication;COMROD;8243;NO0010338445
Confirmit;CONF;7995;NO0003117509
Consafe Offshore;CONSA;7969;SE0001389594
Conseptor;CNS;7779;NO0010025513
ContextVision;COV;6006;SE0000371239
ContextVision;COV;6006;SE0014731154
Copeinca;COP;8238;NO0010352412
COSL Drilling Europe AS;AWO;7922;NO0010255722
Crayon Group Holding;CRAYON;12400;NO0010808892
Crew Gold Corp. New Shares;CRU R;6250;CA2265343038
Crew Gold Corp. New Shares;CRU R;6250;CA2265346007
Crew Gold Corporation;CRU;6250;CA2265347096
Crew Gold Corporation New Shares;CRU R;6250;CA2265342048
CRI-Gruppen;CRI;6119;NO0003087207
Crudecorp;CRUDE;11293;NO0010368475
Crystal Production;CRP;5003;NO0003015901
Customax;CMX;6384;NO0003111809
Cxense;CXENSE;12305;NO0010671068
Dale;DAL;2240;NO0003879405
Dannemora Mineral;DMABB;11179;SE0001879818
Data Respons;DAT;6085;NO0003064107
David Livsforsikringsselskap;DAV;2242;NO0003033706
Deep Sea Supply;DESS;7964;NO0010226905
Deep Sea Supply;DESSC;8227;CY0100120910
DeepOcean;DEEP;7996;NO0010279821
Den Norske Amerikalinje;NAL;1077;NO0003135907
Den Norske Amerikalinje K;NALK92;None;NO0003135972
Den Norske Amerikalinje K;NALK90;1077;NO0003135972
Den Norske Amerikalinje K;NALK93;1077;NO0003135972
Den norske Bank;DNG;1772;NO0003002008
Den norske Bank F;DNBF;1772;NO0003002024
Den norske Bank F;DNGF;1772;NO0003002024
Den Norske Creditbank;DNC;1677;NO0003004004
Det Nordenfj. Dampskibsselskab;NDS;1080;NO0003140303
Det norske oljeselskap;DETNOR OLD;8187;NO0010295603
Det Stavangerske Dampskibss.;DSD;2245;NO0003142507
Det Stavangerske Dampskibss. N;DSDN;2245;NO0003142580
Det Søndenfj.-Norske Dampskibss. B;SFJB;2246;NO0003143612
Discoverer;DSC;6024;NO0003072704
Discovery Offshore;DISC;11240;LU0586887977
District Offshore;DOF;6087;NO0003082901
DNB;DNB;1772;NO0010031479
DNB OBX;OBXEDNB;7834;NO0010257801
DNB OBX Derivat Bear;OBXEDDBEAR;7834;NO0010441512
DNB OBX Derivat BULL;OBXEDDBULL;7834;NO0010441520
DNO;DNO;1015;NO0003921009
DNO B;DNOB;1015;NO0003921017
Dockwise;DOCK;8398;BMG2786A1062
DOF;DOF;6489;NO0010070063
DOF Subsea;DOFSUB;7984;NO0010274608
Dolphin Group;DOLP;8062;NO0010170921
Domstein;DOM;6803;NO0003072407
DSND Subsea;SFJ;2246;NO0003143604
Dual Invest A;DUA;2307;NO0003285009
Dual Invest B;DUAB;2307;NO0003285017
Dyno;DYN;1108;NO0003983702
E.C. Dahls Eiendom;EDE;2248;NO0003876906
E.C.Dahls Bryggeri;DAHLS;2249;NO0003876807
EAM Solar;EAM;11296;NO0010607781
Eastern Drilling;EDRILL;7945;NO0010265168
Eastern Echo Holding;ECHO;8413;CY0100281217
EDB - Elekt. Databeh.;EDB;6036;NO0003076101
EEG-Henriksen Gruppen;EEG;2250;NO0003989006
Eidesvik Offshore;EIOF;7942;NO0010263023
Eiend. Aker Brygge I;EAB;1600;NO0003509002
Eiendomsutvikling;EIU;2251;NO0003999609
Eiker Sparebank N;EIRN;1636;NO0006222090
Eitzen Chemical;ECHEM;8196;NO0010327620
Ekornes;EKO;2520;NO0003035305
Electromagnetic Geoservices;EMGS;8264;NO0010358484
Elektrisk Bureau;ELB;1016;NO0004020801
